Unique Lake,sampledate,Chla (µg/L),TP (µg/L),TN (µg/L)
CHNL3,2017-04-15,3.0,,480.0
CHNL3,2017-05-15,2.0,,470.0
CHNL3,2017-06-15,6.0,,410.0
CHNL3,2017-07-15,5.0,40.0,520.0
CHNL3,2017-08-15,6.0,46.0,570.0
CHNL3,2017-09-15,7.0,,600.0
CHNL3,2017-10-15,1.5,35.0,1160.0
CHNL3,2017-11-15,1.5,20.0,885.0
CHNL3,2017-12-15,1.0,,760.0
CHNL3,2018-01-15,1.5,50.0,735.0
CHNL3,2018-02-15,1.0,5.0,855.0
CHNL3,2018-03-15,4.0,20.0,880.0
CHNL3,2018-04-15,1.0,20.0,750.0
CHNL3,2018-05-15,3.0,40.0,720.0
CHNL3,2018-06-15,4.0,50.0,820.0
CHNL3,2018-07-15,4.0,20.0,860.0
CHNL3,2018-08-15,13.0,20.0,800.0
CHNL3,2018-09-15,2.0,40.0,400.0
CHNL3,2018-10-15,2.0,60.0,540.0
CHNL3,2018-11-15,4.0,30.0,580.0
CHNL3,2018-12-15,2.0,20.0,580.0
CHNL3,2019-01-15,2.0,40.0,650.0
CHNL3,2019-02-15,1.0,30.0,590.0
CHNL3,2019-03-15,8.5,40.0,900.0
CHNL3,2019-04-15,10.0,30.0,700.0
CHNL3,2019-05-15,1.0,10.0,760.0
CHNL3,2019-06-15,1.0,20.0,1360.0
CHNL3,2019-07-15,4.0,40.0,680.0
CHNL3,2019-08-15,12.0,10.0,800.0
CHNL3,2019-09-15,8.0,40.0,700.0
CHNL3,2019-10-15,2.0,20.0,500.0
CHNL3,2019-11-15,10.0,40.0,620.0
CHNL3,2019-12-15,9.0,10.0,600.0
CHNL3,2020-01-15,10.0,17.0,560.0
CHNL3,2020-02-15,10.0,17.0,470.0
CHNL3,2020-03-15,1.0,40.0,470.0
CHNL3,2020-04-15,4.0,12.0,440.0
CHNL3,2020-05-15,1.0,5.0,1240.0
CHNL3,2020-06-15,4.0,15.0,470.0
CHNL3,2020-07-15,4.0,57.0,810.0
CHNL3,2020-08-15,13.0,37.0,500.0
CHNL3,2020-09-15,13.5,33.0,540.0
CHNL3,2020-10-15,4.0,39.0,650.0
CHNL3,2020-11-15,9.0,36.0,810.0
CHNL3,2020-12-15,1.0,31.0,820.0
CHNL3,2021-01-15,1.0,24.0,790.0
CHNL3,2021-02-15,1.0,23.0,750.0
CHNL3,2021-03-15,1.0,17.0,680.0
CHNL3,2021-04-15,8.0,21.0,790.0
CHNL3,2021-05-15,2.0,43.0,780.0
CHNL3,2021-06-15,19.5,23.0,510.0
CHNL3,2021-07-15,8.0,26.0,480.0
CHNL3,2021-08-15,11.0,23.0,500.0
CHNL3,2021-09-15,8.0,30.0,450.0
CHNL3,2021-10-15,7.0,42.0,560.0
CHNL3,2021-11-15,8.0,36.0,630.0
CHNL3,2021-12-15,8.0,31.0,600.0
CHNL3,2022-01-15,1.0,30.0,570.0
CHNL3,2022-04-15,14.0,23.0,820.0
CHNL3,2022-07-15,16.0,22.0,430.0
CHNL3,2022-10-15,2.0,35.0,540.0
CHNL4,2016-01-15,30.0,48.0,1060.0
CHNL4,2016-02-15,2.0,91.0,1050.0
CHNL4,2016-03-15,4.0,154.0,1960.0
CHNL4,2016-04-15,9.0,146.0,1920.0
CHNL4,2016-05-15,2.0,101.0,1340.0
CHNL4,2016-06-15,6.0,92.0,1450.0
CHNL4,2016-07-15,9.0,78.0,1380.0
CHNL4,2016-08-15,20.0,66.0,1350.0
CHNL4,2016-09-15,6.0,63.0,1580.0
CHNL4,2016-10-15,5.0,61.0,1670.0
CHNL4,2016-11-15,2.0,60.0,2440.0
CHNL4,2016-12-15,7.0,58.0,1540.0
CHNL4,2017-01-15,2.0,48.0,1980.0
CHNL4,2017-02-15,1.0,47.0,1420.0
CHNL4,2017-03-15,4.0,44.0,1480.0
CHNL4,2017-04-15,1.0,58.0,1780.0
CHNL4,2017-05-15,1.0,43.0,2250.0
CHNL4,2017-06-15,6.0,60.0,1240.0
CHNL4,2017-07-15,4.0,37.0,1330.0
CHNL4,2017-08-15,18.0,43.0,1460.0
CHNL4,2017-09-15,5.0,44.0,1870.0
CHNL4,2017-10-15,13.0,170.0,1040.0
CHNL4,2017-11-15,21.0,30.0,880.0
CHNL4,2017-12-15,30.0,20.0,1480.0
CHNL4,2018-01-15,19.0,30.0,1480.0
CHNL4,2018-02-15,5.0,20.0,1680.0
CHNL4,2018-03-15,6.0,30.0,1760.0
CHNL4,2018-04-15,13.0,40.0,2190.0
CHNL4,2018-05-15,3.0,60.0,1460.0
CHNL4,2018-06-15,53.0,60.0,790.0
CHNL4,2018-07-15,112.0,90.0,650.0
CHNL4,2018-08-15,71.0,100.0,1170.0
CHNL4,2018-09-15,88.0,70.0,500.0
CHNL4,2018-10-15,84.0,60.0,540.0
CHNL4,2018-11-15,43.0,70.0,1220.0
CHNL4,2018-12-15,15.0,30.0,1200.0
CHNL4,2019-01-15,45.0,40.0,1990.0
CHNL4,2019-02-15,12.0,30.0,1420.0
CHNL4,2019-03-15,4.0,10.0,2180.0
CHNL4,2019-04-15,10.0,40.0,1270.0
CHNL4,2019-05-15,2.0,30.0,520.0
CHNL4,2019-06-15,61.0,70.0,1030.0
CHNL4,2019-07-15,44.0,50.0,610.0
CHNL4,2019-08-15,77.0,110.0,710.0
CHNL4,2019-09-15,61.0,100.0,660.0
CHNL4,2019-10-15,62.0,90.0,1120.0
CHNL4,2019-11-15,23.0,50.0,340.0
CHNL4,2019-12-15,3.0,30.0,480.0
CHNL4,2020-01-15,4.0,10.0,500.0
CHNL4,2020-02-15,4.0,18.0,2260.0
CHNL4,2020-03-15,10.0,20.0,760.0
CHNL4,2020-04-15,4.0,25.0,850.0
CHNL4,2020-05-15,20.0,50.0,940.0
CHNL4,2020-06-15,34.0,50.0,930.0
CHNL4,2020-07-15,92.5,85.0,1420.0
CHNL4,2020-08-15,110.0,100.0,1510.0
CHNL4,2020-09-15,88.0,50.0,1010.0
CHNL4,2020-10-15,99.0,40.0,490.0
CHNL4,2020-11-15,22.0,39.0,600.0
CHNL4,2020-12-15,12.0,34.0,610.0
CHNL4,2021-01-15,13.0,17.0,1550.0
CHNL4,2021-02-15,16.0,30.0,800.0
CHNL4,2021-03-15,16.0,44.0,890.0
CHNL4,2021-04-15,27.0,47.0,700.0
CHNL4,2021-05-15,43.0,61.0,620.0
CHNL4,2021-06-15,37.0,59.0,600.0
CHNL4,2021-07-15,53.0,48.0,910.0
CHNL4,2021-08-15,32.0,56.0,600.0
CHNL4,2021-09-15,60.0,41.0,440.0
CHNL4,2021-10-15,64.0,51.0,890.0
CHNL4,2021-11-15,52.0,41.0,1030.0
CHNL4,2021-12-15,19.0,39.0,920.0
CHNL4,2022-01-15,24.0,44.0,1170.0
CHNL4,2022-03-15,11.0,39.0,1020.0
CHNL4,2022-05-15,59.0,56.0,670.0
CHNL4,2022-06-15,49.0,53.0,1150.0
CHNL4,2022-07-15,36.0,40.0,1090.0
CHNL4,2022-08-15,34.0,41.0,830.0
CHNL4,2022-09-15,13.0,65.0,1060.0
CHNL4,2022-10-15,6.0,36.0,1050.0
CHNL4,2022-11-15,18.0,44.0,1180.0
CHNL4,2022-12-15,6.0,35.0,1180.0
CHNL6,2018-01-15,9.25,40.0,2605.0
CHNL6,2018-02-15,12.5,55.0,1455.0
CHNL6,2018-03-15,12.0,35.0,1050.0
CHNL6,2018-04-15,12.5,35.0,940.0
CHNL6,2018-05-15,10.5,35.0,845.0
CHNL6,2018-06-15,13.0,40.0,705.0
CHNL6,2018-07-15,35.5,40.0,1055.0
CHNL6,2018-08-15,41.0,45.0,995.0
CHNL6,2018-09-15,46.5,60.0,1130.0
CHNL6,2018-10-15,43.0,50.0,955.0
CHNL6,2018-11-15,30.5,40.0,950.0
CHNL6,2018-12-15,8.5,55.0,1100.0
CHNL6,2019-01-15,23.0,35.0,985.0
CHNL6,2019-02-15,15.0,40.0,1920.0
CHNL6,2019-03-15,12.5,50.0,2025.0
CHNL6,2019-04-15,13.0,35.0,1020.0
CHNL6,2019-05-15,11.5,40.0,880.0
CHNL6,2019-06-15,17.5,50.0,990.0
CHNL6,2019-07-15,20.5,40.0,1230.0
CHNL6,2019-08-15,43.5,60.0,1300.0
CHNL6,2019-09-15,30.5,50.0,1335.0
CHNL6,2019-10-15,39.5,60.0,1405.0
CHNL6,2019-11-15,28.0,45.0,1320.0
CHNL6,2019-12-15,12.5,20.0,1125.0
CHNL6,2020-01-15,15.0,34.0,1635.0
CHNL6,2020-02-15,15.0,40.0,1595.0
CHNL6,2020-03-15,15.0,30.0,1205.0
CHNL6,2020-04-15,10.0,30.0,805.0
CHNL6,2020-05-15,20.0,30.0,860.0
CHNL6,2020-06-15,12.0,40.0,995.0
CHNL6,2020-07-15,33.5,47.0,835.0
CHNL6,2020-08-15,31.5,50.5,795.0
CHNL6,2020-09-15,53.0,46.0,720.0
CHNL6,2020-10-15,31.0,40.0,725.0
CHNL6,2020-11-15,26.0,35.0,795.0
CHNL6,2020-12-15,11.5,25.0,1020.0
CHNL6,2021-01-15,11.0,40.0,1200.0
CHNL6,2021-02-15,1.0,30.0,930.0
CHNL6,2021-03-15,1.0,29.0,860.0
CHNL6,2021-04-15,12.0,29.0,740.0
CHNL6,2021-05-15,10.0,32.0,860.0
CHNL6,2021-06-15,6.0,40.0,730.0
CHNL6,2021-07-15,26.0,46.0,1220.0
CHNL6,2021-08-15,19.0,38.0,2890.0
CHNL6,2021-09-15,14.0,36.0,1270.0
CHNL6,2021-10-15,2.0,31.0,2100.0
CHNL6,2021-11-15,5.0,21.0,3010.0
CHNL6,2021-12-15,9.0,20.0,3080.0
CHNL6,2022-01-15,1.0,20.0,3120.0
CHNL6,2022-02-15,6.0,30.0,3290.0
CHNL6,2022-03-15,7.0,30.0,2280.0
CHNL6,2022-04-15,9.0,20.0,1640.0
CHNL6,2022-05-15,6.0,31.0,860.0
CHNL6,2022-06-15,13.0,35.0,620.0
CHNL6,2022-07-15,15.0,40.0,930.0
CHNL6,2022-08-15,9.0,34.0,930.0
CHNL6,2022-09-15,4.0,28.0,690.0
CHNL6,2022-10-15,4.0,30.0,650.0
CHNL6,2022-11-15,11.0,25.0,720.0
CHNL6,2022-12-15,6.0,21.0,950.0
CHNL7,2016-01-15,6.0,31.25,1835.0
CHNL7,2016-02-15,5.0,29.5,2236.0
CHNL7,2016-03-15,3.0,35.0,1768.0
CHNL7,2016-04-15,2.84,35.0,1725.0
CHNL7,2016-05-15,4.515,25.75,1940.0
CHNL7,2016-06-15,5.55,35.0,1230.0
CHNL7,2016-07-15,17.445,35.0,1065.0
CHNL7,2016-08-15,9.379999999999999,30.0,1550.0
CHNL7,2016-09-15,17.85,25.0,1450.0
CHNL7,2016-10-15,13.899999999999999,27.5,1065.0
CHNL7,2016-11-15,4.6,27.5,1625.0
CHNL7,2016-12-15,8.41,25.0,1800.0
CHNL7,2017-01-15,8.4,42.5,1795.0
CHNL7,2017-02-15,3.95,25.0,2090.0
CHNL7,2017-03-15,6.0,32.5,1520.0
CHNL7,2017-04-15,5.6499999999999995,25.0,1660.0
CHNL7,2017-05-15,6.949999999999999,30.0,1915.0
CHNL7,2017-06-15,8.1,25.0,1380.0
CHNL7,2017-07-15,8.795,20.0,1735.0
CHNL7,2017-08-15,7.6,25.0,1975.0
CHNL7,2017-09-15,7.45,30.0,2070.0
CHNL7,2017-10-15,18.33,45.0,3946.67
CHNL7,2017-11-15,18.33,10.0,1546.67
CHNL7,2017-12-15,10.0,20.0,1390.0
CHNL7,2018-01-15,4.33,33.33,1653.33
CHNL7,2018-02-15,5.0,33.33,2146.67
CHNL7,2018-03-15,5.0,50.0,1670.0
CHNL7,2018-04-15,6.0,5.0,1680.0
CHNL7,2018-05-15,7.0,30.0,1990.0
CHNL7,2018-06-15,7.0,40.0,1750.0
CHNL7,2018-07-15,19.0,30.0,2050.0
CHNL7,2018-08-15,15.0,40.0,1780.0
CHNL7,2018-09-15,18.0,30.0,1340.0
CHNL7,2018-10-15,8.0,20.0,1550.0
CHNL7,2018-11-15,9.0,10.0,1690.0
CHNL7,2018-12-15,10.0,20.0,1600.0
CHNL7,2019-01-15,5.0,32.5,1930.0
CHNL7,2019-02-15,6.0,25.0,1760.0
CHNL7,2019-03-15,10.5,25.0,1855.0
CHNL7,2019-04-15,16.5,32.5,1965.0
CHNL7,2019-05-15,18.5,30.0,1970.0
CHNL7,2019-06-15,24.0,30.0,1860.0
CHNL7,2019-07-15,26.0,30.0,1795.0
CHNL7,2019-08-15,27.0,30.0,1895.0
CHNL7,2019-09-15,29.5,25.0,1585.0
CHNL7,2019-10-15,29.0,20.0,1365.0
CHNL7,2019-11-15,17.0,25.0,1570.0
CHNL7,2019-12-15,15.5,22.5,1395.0
CHNL7,2020-01-15,3.0,23.0,2009.9999999999998
CHNL7,2020-02-15,10.0,20.0,1740.0
CHNL7,2020-03-15,10.0,30.0,1490.0
CHNL7,2020-04-15,8.0,23.0,1570.0
CHNL7,2020-05-15,10.0,20.0,1710.0
CHNL7,2020-06-15,7.0,24.0,1540.0
CHNL7,2020-07-15,7.0,19.0,2200.0
CHNL7,2020-08-15,7.0,11.0,2130.0
CHNL7,2020-09-15,11.0,7.0,2009.9999999999998
CHNL7,2020-10-15,25.0,14.0,2340.0
CHNL7,2020-11-15,4.0,11.0,2450.0
CHNL7,2020-12-15,17.0,8.0,2390.0
CHNL7,2021-01-15,2.0,13.0,2310.0
CHNL7,2021-02-15,11.0,33.0,2550.0
CHNL7,2021-03-15,14.0,27.0,2130.0
CHNL7,2021-04-15,15.0,22.0,1840.0
CHNL7,2021-05-15,19.0,24.0,1980.0
CHNL7,2021-06-15,12.0,24.0,1930.0
CHNL7,2021-07-15,13.0,20.0,1790.0
CHNL7,2021-08-15,4.0,19.0,1700.0
CHNL7,2021-09-15,14.0,18.0,1600.0
CHNL7,2021-10-15,12.0,21.0,1390.0
CHNL7,2021-11-15,7.0,18.0,1540.0
CHNL7,2021-12-15,5.0,25.0,1600.0
CHNL7,2022-01-15,2.0,24.0,1790.0
CHNL7,2022-04-15,23.0,25.0,1760.0
CHNL7,2022-07-15,14.0,25.0,2110.0
CHNL7,2022-10-15,8.0,16.0,1480.0
CHNL10,2016-01-15,2.0,10.0,2360.0
CHNL10,2016-02-15,2.0,10.0,2500.0
CHNL10,2016-03-15,3.0,10.0,2900.0
CHNL10,2016-04-15,4.0,20.0,2940.0
CHNL10,2016-05-15,3.5,20.0,1800.0
CHNL10,2016-06-15,4.7,30.0,3900.0
CHNL10,2016-07-15,5.2,30.0,2570.0
CHNL10,2016-08-15,5.1000000000000005,30.0,2100.0
CHNL10,2016-09-15,4.5,20.0,2720.0
CHNL10,2016-10-15,3.8,20.0,2720.0
CHNL10,2016-11-15,2.9,20.0,2570.0
CHNL10,2016-12-15,3.6,10.0,2600.0
CHNL10,2017-01-15,1.6,20.0,2830.0
CHNL10,2017-03-15,2.8,10.0,2700.0
CHNL10,2017-04-15,4.1000000000000005,20.0,2630.0
CHNL10,2017-05-15,2.6,40.0,2300.0
CHNL10,2017-06-15,6.5,20.0,1850.0
CHNL10,2017-07-15,4.2,30.0,1620.0
CHNL10,2017-08-15,6.8999999999999995,30.0,3120.0
CHNL10,2017-09-15,4.7,40.0,2670.0
CHNL10,2019-01-15,2.0,,3400.0
CHNL10,2019-03-15,2.0,,3980.0
CHNL10,2019-04-15,3.0,,4019.9999999999995
CHNL10,2019-05-15,4.0,,3990.0
CHNL10,2019-06-15,5.0,,3510.0
CHNL10,2019-09-15,3.0,,1980.0
CHNL10,2019-10-15,2.0,,2610.0
CHNL10,2019-11-15,2.0,,2490.0
CHNL10,2019-12-15,2.0,,2490.0
CHNL10,2021-01-15,2.0,30.0,3190.0
CHNL10,2021-02-15,2.0,20.0,3080.0
CHNL10,2021-03-15,3.0,20.0,3220.0
CHNL10,2021-04-15,4.0,11.0,3250.0
CHNL10,2021-05-15,3.5,5.0,3085.0
CHNL10,2021-06-15,6.5,39.0,2900.0
CHNL10,2021-07-15,7.5,21.0,2715.0
CHNL10,2021-08-15,6.5,20.0,2695.0
CHNL10,2021-09-15,8.5,24.0,2560.0
CHNL10,2021-10-15,6.0,12.5,3225.0
CHNL10,2021-12-15,1.0,20.0,3800.0
CHNL10,2022-01-15,2.0,20.0,2390.0
CHNL10,2022-05-15,8.0,23.5,3270.0
CHNL10,2022-07-15,12.5,25.0,2695.0
CHNL10,2022-08-15,2.0,20.0,3890.0
CHNL10,2022-09-15,8.0,25.0,2880.0
CHNL10,2022-10-15,4.5,12.5,2975.0
CHNL11,2010-05-15,2.21,30.0,970.0
CHNL11,2010-06-15,1.57,40.0,980.0
CHNL11,2010-07-15,2.25,20.0,830.0
CHNL11,2010-08-15,2.5,15.0,840.0
CHNL11,2010-09-15,3.035,,795.0
CHNL11,2010-10-15,2.935,,1000.0
CHNL11,2011-01-15,2.2300000000000004,12.0,964.0
CHNL11,2011-05-15,3.2,18.0,875.0
CHNL11,2011-06-15,2.665,20.0,1045.0
CHNL11,2011-07-15,2.07,25.0,995.0
CHNL11,2011-08-15,3.105,25.0,1125.0
CHNL11,2011-09-15,3.16,12.0,1035.0
CHNL11,2011-10-15,5.95,,955.0
CHNL11,2012-05-15,5.859999999999999,,920.0
CHNL11,2012-06-15,5.38,5.0,980.0
CHNL11,2012-07-15,6.0600000000000005,5.0,980.0
CHNL11,2012-08-15,4.97,5.0,970.0
CHNL11,2012-09-15,3.7100000000000004,5.0,980.0
CHNL11,2012-10-15,2.13,5.0,980.0
CHNL11,2014-05-15,2.75,,840.0
CHNL11,2014-06-15,4.24,,940.0
CHNL11,2014-07-15,2.26,,940.0
CHNL11,2014-08-15,4.7,,919.0
CHNL11,2014-09-15,7.5,,929.0
CHNL11,2014-10-15,7.9,,890.0
CHNL11,2015-05-15,7.9,,830.0
CHNL11,2015-06-15,7.3,,802.0
CHNL11,2015-07-15,10.8,,827.0
CHNL11,2015-08-15,5.37,,846.0
CHNL11,2015-09-15,1.5,,790.0
CHNL11,2015-10-15,1.61,,828.0
CHNL11,2016-05-15,4.81,,900.0
CHNL11,2016-06-15,4.1000000000000005,,750.0
CHNL11,2016-07-15,3.77,,840.0
CHNL11,2016-08-15,4.17,,780.0
CHNL11,2016-09-15,2.9299999999999997,,790.0
CHNL11,2016-10-15,2.96,,780.0
CHNL11,2017-05-15,2.5500000000000003,,800.0
CHNL11,2017-06-15,2.4099999999999997,,630.0
CHNL11,2017-07-15,2.0,,790.0
CHNL11,2017-08-15,3.0,,750.0
CHNL11,2017-09-15,2.0,,690.0
CHNL11,2018-05-15,3.0,10.0,650.0
CHNL11,2018-06-15,2.0,10.0,710.0
CHNL11,2018-07-15,3.0,10.0,760.0
CHNL11,2018-08-15,3.0,10.0,580.0
CHNL11,2018-09-15,3.0,10.0,540.0
CHNL11,2018-10-15,3.0,10.0,610.0
CHNL11,2018-11-15,2.0,10.0,520.0
CHNL11,2019-05-15,1.0,5.0,670.0
CHNL11,2019-06-15,1.0,5.0,680.0
CHNL11,2019-07-15,1.0,5.0,810.0
CHNL11,2019-08-15,1.0,10.0,770.0
CHNL11,2019-09-15,1.0,5.0,730.0
CHNL11,2019-10-15,1.0,10.0,670.0
CHNL11,2019-11-15,1.0,10.0,720.0
CHNL11,2019-12-15,1.0,10.0,730.0
CHNL11,2020-01-15,1.0,10.0,720.0
CHNL11,2020-02-15,1.0,10.0,720.0
CHNL11,2020-03-15,1.0,10.0,720.0
CHNL11,2020-04-15,1.0,10.0,720.0
CHNL11,2020-05-15,1.0,5.0,610.0
CHNL11,2020-07-15,3.0,5.0,600.0
CHNL11,2020-09-15,2.0,5.0,650.0
CHNL11,2020-10-15,3.0,5.0,650.0
CHNL11,2020-11-15,1.0,10.0,780.0
CHNL11,2021-04-15,1.0,5.0,650.0
CHNL11,2021-05-15,1.0,5.0,815.0
CHNL11,2021-06-15,1.0,5.0,600.0
CHNL11,2021-07-15,1.0,18.0,590.0
CHNL11,2021-08-15,1.0,7.5,545.0
CHNL11,2021-09-15,1.0,5.0,475.0
CHNL11,2021-10-15,1.0,5.0,505.0
CHNL11,2022-05-15,1.5,5.0,590.0
CHNL11,2022-06-15,2.0,5.0,620.0
CHNL11,2022-07-15,2.0,5.0,615.0
CHNL11,2022-08-15,1.0,5.0,570.0
CHNL11,2022-09-15,1.0,16.5,720.0
CHNL12,2012-01-15,40.4,130.0,1580.0
CHNL12,2012-02-15,22.8,76.0,1150.0
CHNL12,2012-03-15,14.6,77.0,630.0
CHNL12,2012-04-15,22.4,79.0,930.0
CHNL12,2012-05-15,21.2,54.0,1100.0
CHNL12,2012-06-15,23.0,42.0,953.0
CHNL12,2012-07-15,30.700000000000003,45.0,790.0
CHNL12,2012-08-15,59.0,42.0,745.0
CHNL12,2012-09-15,40.9,39.0,539.0
CHNL12,2012-10-15,26.3,40.0,686.0
CHNL12,2012-11-15,42.5,47.0,766.0
CHNL12,2012-12-15,21.4,48.0,950.0
CHNL12,2013-01-15,9.5,45.0,920.0
CHNL12,2013-02-15,11.700000000000001,45.0,932.0
CHNL12,2013-03-15,23.599999999999998,47.0,1300.0
CHNL12,2013-04-15,25.0,110.0,66.0
CHNL12,2013-05-15,21.4,121.0,682.0
CHNL12,2013-06-15,64.0,47.0,790.0
CHNL12,2013-07-15,30.700000000000003,35.0,866.0
CHNL12,2013-08-15,12.9,46.0,414.0
CHNL12,2013-09-15,11.5,42.0,641.0
CHNL12,2013-10-15,30.599999999999998,141.0,560.0
CHNL12,2013-11-15,16.9,123.0,894.0
CHNL12,2013-12-15,35.0,102.0,570.0
CHNL12,2014-01-15,17.1,99.0,1000.0
CHNL12,2014-02-15,15.6,50.0,1230.0
CHNL12,2014-03-15,22.1,44.0,1790.0
CHNL12,2014-04-15,40.4,66.0,1220.0
CHNL12,2014-05-15,20.2,48.0,919.0
CHNL12,2014-06-15,20.9,130.0,1110.0
CHNL12,2014-07-15,18.9,52.0,560.0
CHNL12,2014-08-15,23.3,87.0,550.0
CHNL12,2014-09-15,17.0,94.0,1570.0
CHNL12,2014-10-15,20.2,50.0,880.0
CHNL12,2014-11-15,21.3,76.0,900.0
CHNL12,2014-12-15,23.599999999999998,59.0,1410.0
CHNL12,2015-01-15,11.9,74.0,1100.0
CHNL12,2015-02-15,23.2,74.0,1340.0
CHNL12,2015-03-15,18.8,55.0,1090.0
CHNL12,2015-04-15,26.599999999999998,12.0,447.0
CHNL12,2015-05-15,28.6,24.0,566.0
CHNL12,2015-06-15,18.8,42.0,542.0
CHNL12,2015-07-15,21.2,68.0,385.0
CHNL12,2015-08-15,23.099999999999998,31.0,490.0
CHNL12,2015-09-15,27.2,24.0,600.0
CHNL12,2015-10-15,49.7,42.0,569.0
CHNL12,2015-11-15,63.4,33.0,715.0
CHNL12,2015-12-15,81.4,37.0,647.0
CHNL12,2016-01-15,42.4,34.0,636.0
CHNL12,2016-02-15,17.4,32.5,600.0
CHNL12,2016-03-15,11.6,34.0,558.0
CHNL12,2016-04-15,17.3,15.0,976.0
CHNL12,2016-05-15,12.9,17.5,668.0
CHNL12,2016-06-15,16.0,15.0,762.0
CHNL12,2016-07-15,18.1,36.0,851.0
CHNL12,2016-08-15,20.9,34.0,574.0
CHNL12,2016-09-15,17.7,40.0,751.0
CHNL12,2016-10-15,18.1,3.0,668.0
CHNL12,2016-11-15,17.7,36.0,480.0
CHNL12,2016-12-15,21.4,34.0,751.0
CHNL12,2017-01-15,20.8,40.0,961.0
CHNL12,2017-02-15,17.3,47.0,960.0
CHNL12,2017-03-15,17.7,39.0,615.0
CHNL12,2017-04-15,16.0,33.0,726.0
CHNL12,2017-05-15,22.4,15.0,542.0
CHNL12,2017-06-15,15.0,36.0,940.0
CHNL12,2017-07-15,16.2,12.0,620.0
CHNL12,2017-08-15,17.7,37.0,751.0
CHNL12,2017-09-15,21.4,32.0,751.0
CHNL12,2017-10-15,38.0,,700.0
CHNL12,2017-11-15,28.0,50.0,560.0
CHNL12,2017-12-15,25.0,50.0,300.0
CHNL12,2018-01-15,12.0,20.0,500.0
CHNL12,2018-02-15,4.5,30.0,490.0
CHNL12,2018-03-15,24.0,60.0,1340.0
CHNL12,2018-04-15,41.0,90.0,220.0
CHNL12,2018-05-15,13.0,50.0,210.0
CHNL12,2018-06-15,21.0,60.0,760.0
CHNL12,2018-07-15,33.0,60.0,880.0
CHNL12,2018-08-15,42.0,50.0,680.0
CHNL12,2018-09-15,37.0,20.0,490.0
